,datum,tage,lebenszahl,paarsumme
463850,24.12.1270,463850,1,168
464007,30.05.1271,464007,1,168
464037,29.06.1271,464037,1,168
464066,28.07.1271,464066,1,168
464096,27.08.1271,464096,1,168
464126,26.09.1271,464126,1,168
464155,25.10.1271,464155,1,168
464185,24.11.1271,464185,1,168
464214,23.12.1271,464214,1,168
464313,31.03.1272,464313,1,168
464343,30.04.1272,464343,1,168
464372,29.05.1272,464372,1,168
464402,28.06.1272,464402,1,168
464431,27.07.1272,464431,1,168
464461,26.08.1272,464461,1,168
464491,25.09.1272,464491,1,168
464520,24.10.1272,464520,1,168
464550,23.11.1272,464550,1,168
464579,22.12.1272,464579,1,168
464677,30.03.1273,464677,1,168
464707,29.04.1273,464707,1,168
464736,28.05.1273,464736,1,168
464766,27.06.1273,464766,1,168
464795,26.07.1273,464795,1,168
464825,25.08.1273,464825,1,168
464855,24.09.1273,464855,1,168
464884,23.10.1273,464884,1,168
464914,22.11.1273,464914,1,168
464943,21.12.1273,464943,1,168
464984,31.01.1274,464984,1,168
465041,29.03.1274,465041,1,168
465071,28.04.1274,465071,1,168
465100,27.05.1274,465100,1,168
465130,26.06.1274,465130,1,168
465159,25.07.1274,465159,1,168
465189,24.08.1274,465189,1,168
465219,23.09.1274,465219,1,168
465248,22.10.1274,465248,1,168
465278,21.11.1274,465278,1,168
465307,20.12.1274,465307,1,168
465348,30.01.1275,465348,1,168
465405,28.03.1275,465405,1,168
465435,27.04.1275,465435,1,168
465464,26.05.1275,465464,1,168
465494,25.06.1275,465494,1,168
465523,24.07.1275,465523,1,168
465553,23.08.1275,465553,1,168
465583,22.09.1275,465583,1,168
465612,21.10.1275,465612,1,168
465642,20.11.1275,465642,1,168
465671,19.12.1275,465671,1,168
465712,29.01.1276,465712,1,168
465742,28.02.1276,465742,1,168
465770,27.03.1276,465770,1,168
465800,26.04.1276,465800,1,168
465829,25.05.1276,465829,1,168
465859,24.06.1276,465859,1,168
465888,23.07.1276,465888,1,168
465918,22.08.1276,465918,1,168
465948,21.09.1276,465948,1,168
465977,20.10.1276,465977,1,168
466007,19.11.1276,466007,1,168
466036,18.12.1276,466036,1,168
466077,28.01.1277,466077,1,168
466107,27.02.1277,466107,1,168
466134,26.03.1277,466134,1,168
466164,25.04.1277,466164,1,168
466193,24.05.1277,466193,1,168
466223,23.06.1277,466223,1,168
466252,22.07.1277,466252,1,168
466282,21.08.1277,466282,1,168
466312,20.09.1277,466312,1,168
466341,19.10.1277,466341,1,168
466371,18.11.1277,466371,1,168
466400,17.12.1277,466400,1,168
497459,31.12.1362,497459,1,168
497823,30.12.1363,497823,1,168
498129,31.10.1364,498129,1,168
498159,30.11.1364,498159,1,168
498188,29.12.1364,498188,1,168
498493,30.10.1365,498493,1,168
498523,29.11.1365,498523,1,168
498552,28.12.1365,498552,1,168
498798,31.08.1366,498798,1,168
498828,30.09.1366,498828,1,168
498857,29.10.1366,498857,1,168
498887,28.11.1366,498887,1,168
498916,27.12.1366,498916,1,168
499132,31.07.1367,499132,1,168
